GBIFusageKey,iucn_id,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_ke,restriction_type,governing_law
2687617,34203,Kenya,,NATIONAL,,Afrocarpus usambarensis,Protected / Regulated,species,Podocarpaceae,East African yellowwood,"Afrocarpus mannii usambarensis, Afrocarpus usambarensis, Nageia mannii usambarensis, Podocarpus usambarensis",Taita Hills priority species; in 12 ex situ collections. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/34203,Afrocarpus,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5348472,33046,Kenya,,NATIONAL,,Newtonia erlangeri,Protected / Regulated,species,Fabaceae,Newtonia erlangeri,Piptadenia erlangeri,Rare leguminous tree of coastal forests. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/33046,Newtonia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2977460,30387,Kenya,,NATIONAL,,Gigasiphon macrosiphon,Protected / Regulated,species,Fabaceae,Gigasiphon macrosiphon,"Bauhinia macrosiphon, Gigasiphon humblotianum",Very rare coastal forest tree with spectacular flowers. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/30387,Gigasiphon,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3158252,158120,Kenya,,NATIONAL,,Isolona cauliflora,Protected / Regulated,species,Annonaceae,Isolona cauliflora,,Annonaceae; coastal forest species. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/158120,Isolona,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
4070825,33174,Kenya,,NATIONAL,,Diospyros shimbaensis,Protected / Regulated,species,Ebenaceae,Shimba Hills ebony,,Ebony species restricted to Shimba Hills. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/33174,Diospyros,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3156633,32860,Kenya,,NATIONAL,,Toussaintia orientalis,Protected / Regulated,species,Annonaceae,Toussaintia orientalis,,Rare Annonaceae of East African coastal forests. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/32860,Toussaintia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5792509,32242,Kenya,,NATIONAL,,Uvariodendron gorgonis,Protected / Regulated,species,Annonaceae,Uvariodendron gorgonis,,Rare Annonaceae tree. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/32242,Uvariodendron,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3661906,32240,Kenya,,NATIONAL,,Sclerocarya gillettii,Protected / Regulated,species,Anacardiaceae,Sclerocarya gillettii,,Anacardiaceae; related to marula. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/32240,Sclerocarya,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3790694,128048712,Kenya,,NATIONAL,,Gymnosporia keniensis,Protected / Regulated,species,Celastraceae,Gymnosporia keniensis,"Gymnosporia serrata keniensis, Maytenus keniensis",Kenya endemic; Celastraceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/128048712,Gymnosporia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5417563,179820,Kenya,,NATIONAL,,Eugenia tanaensis,Protected / Regulated,species,Myrtaceae,Tana River eugenia,,Restricted to Tana River forests. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/179820,Eugenia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3059788,34216,Kenya,,NATIONAL,,Croton alienus,Protected / Regulated,species,Euphorbiaceae,Croton alienus,Mildbraedia balboana,Euphorbiaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/34216,Croton,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5555202,34438,Kenya,,NATIONAL,,Brucea macrocarpa,Protected / Regulated,species,Simaroubaceae,Brucea macrocarpa,,Simaroubaceae; rare in East Africa. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/34438,Brucea,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
7797879,,Kenya,,NATIONAL,,Dalbergia gloveri,Protected / Regulated,species,Fabaceae,Glover's rosewood,,All Dalbergia spp. listed CITES Appendix II since CoP17 (2016).,Dalbergia,no,,Protected under FCMA 2016; CITES Appendix II (all Dalbergia),Fully protected; CITES-regulated trade,FCMA 2016; CITES
3834498,30405,Kenya,,NATIONAL,,Vepris glandulosa,Protected / Regulated,species,Rutaceae,Vepris glandulosa,Tecleopsis glandulosa,Rutaceae; coastal forest species. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/30405,Vepris,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3035932,62341,Kenya,,NATIONAL,,Polyscias stuhlmannii,Protected / Regulated,species,Araliaceae,Polyscias stuhlmannii,"Gastonia stuhlmannii, Polyscias stuhlmannii, Polyscias stuhlmannii inarticulata, Polyscias stuhlmannii stuhlmannii",Araliaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/62341,Polyscias,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2683779,,Kenya,,NATIONAL,,Encephalartos kisambo,Prohibited,species,Zamiaceae,"Voi Cycad, Voi cycad","Encephalartos kanga, Encephalartos voiensis",Kenya endemic cycad; CITES Appendix I. Fewer than 100 mature individuals in the wild.,Encephalartos,no,,Fully protected; CITES Appendix I (all Encephalartos),Prohibited commercial trade; fully protected,WCMA 2013; CITES; FCMA 2016
2901546,62886,Kenya,,NATIONAL,,Oxyanthus pyriformis,Protected / Regulated,subspecies,Rubiaceae,Oxyanthus pyriformis subsp. longitubus,,Rubiaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/62886,Oxyanthus,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3768874,179353,Kenya,,NATIONAL,,Grevea eggelingii,Protected / Regulated,variety,Montiniaceae,Grevea eggelingii var. keniensis,Grevea madagascariensis keniensis,Kenya endemic variety. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/179353,Grevea,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2944936,,Kenya,,NATIONAL,,Craibia brevicaudata,Protected / Regulated,species,Fabaceae,Craibia brevicaudata subsp. burttii,"Craibia burttii, Dalbergia brevicaudata, Lonchocarpus brevicaudatus",Coastal forest legume. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Craibia%20brevicaudata&searchType=species,Craibia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3897062,33047,Kenya,,NATIONAL,,Premna maxima,Protected / Regulated,species,Lamiaceae,Premna maxima,,Lamiaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/33047,Premna,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3155988,158292,Kenya,,NATIONAL,,Monanthotaxis faulknerae,Protected / Regulated,species,Annonaceae,Monanthotaxis faulknerae,,Annonaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/158292,Monanthotaxis,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3852095,,Kenya,,NATIONAL,,Khaya anthotheca,Protected / Regulated,species,Meliaceae,"East African Mahogany, Nyasaland mahogany, White Mahogany, white-mahogany","Azedarach elegans, Garretia anthoteca, Khaya wildemanii, Melia elegans",All Khaya spp. listed CITES Appendix II since CoP19 (2022). Over 20% population decline.,Khaya,no,,Protected under FCMA 2016; CITES Appendix II (all Khaya),Regulated harvest; CITES-regulated trade,FCMA 2016; CITES
2966842,34632,Kenya,,NATIONAL,,Cynometra webberi,Protected / Regulated,species,Fabaceae,Webb's cynometra,,Dominant coastal forest species. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/34632,Cynometra,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5603222,34212,Kenya,,NATIONAL,,Warburgia stuhlmannii,Protected / Regulated,species,Canellaceae,Warburgia stuhlmannii,,Coastal forest species; medicinal use. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/34212,Warburgia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5348471,33473,Kenya,,NATIONAL,,Newtonia paucijuga,Protected / Regulated,species,Fabaceae,Newtonia paucijuga,"Cylicodiscus battiscombei, Cylicodiscus paucijugus, Piptadenia paucijuga",Coastal forest legume. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/33473,Newtonia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5355656,32067,Kenya,,NATIONAL,,Prioria msoo,Protected / Regulated,species,Fabaceae,Msoo,,Important coastal forest timber tree. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/32067,Prioria,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5564620,,Kenya,,NATIONAL,,Brochoneura usambarensis,Protected / Regulated,species,Myristicaceae,Cephalosphaera usambarensis,,Myristicaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Brochoneura%20usambarensis&searchType=species,Brochoneura,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2883730,34639,Kenya,,NATIONAL,,Mimusops riparia,Protected / Regulated,species,Sapotaceae,Mimusops riparia,"Mimusops dependens, Mimusops useguhensis",Sapotaceae; coastal forest. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/34639,Mimusops,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2884716,,Kenya,,NATIONAL,,Aningeria pseudoracemosa,Protected / Regulated,species,Sapotaceae,Pouteria pseudoracemosa,,Sapotaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Aningeria%20pseudoracemosa&searchType=species,Aningeria,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5571654,34435,Kenya,,NATIONAL,,Ficus faulkneriana,Protected / Regulated,species,Moraceae,Faulkner's fig,,Moraceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/34435,Ficus,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3786858,34461,Kenya,,NATIONAL,,Chytranthus obliquinervis,Protected / Regulated,species,Sapindaceae,Chytranthus obliquinervis,Chytranthus obliquinervis,Sapindaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/34461,Chytranthus,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2906217,34871,Kenya,,NATIONAL,,Rothmannia macrosiphon,Protected / Regulated,species,Rubiaceae,Rothmannia macrosiphon,Randia macrosiphon,Rubiaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/34871,Rothmannia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3616440,32141,Kenya,,NATIONAL,,Pleioceras orientale,Protected / Regulated,species,Apocynaceae,Pleioceras orientale,,Apocynaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/32141,Pleioceras,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2895921,35778,Kenya,,NATIONAL,,Tarenna drummondii,Protected / Regulated,species,Rubiaceae,Tarenna drummondii,,Rubiaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/35778,Tarenna,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
10810950,140149230,Kenya,,NATIONAL,,Dovyalis keniensis,Protected / Regulated,species,Salicaceae,Kenya dovyalis,,Kenya endemic; Salicaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/140149230,Dovyalis,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2886053,39034,Kenya,,NATIONAL,,Synsepalum subverticillatum,Protected / Regulated,species,Sapotaceae,Synsepalum subverticillatum,"Pachystela subverticillata, Pseudoboivinella subverticillata",Kenya endemic; Sapotaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/39034,Synsepalum,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
8177267,,Kenya,,NATIONAL,,Vepris robertsoniae,Protected / Regulated,species,Rutaceae,Robertson's vepris,,"Kenya endemic; known from 9 locations, AOO 88 km2. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Vepris%20robertsoniae&searchType=species",Vepris,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3834564,32255,Kenya,,NATIONAL,,Vepris fadenii,Protected / Regulated,species,Rutaceae,Faden's vepris,Diphasiopsis fadenii,Rutaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/32255,Vepris,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2893042,84550207,Kenya,,NATIONAL,,Psydrax polhillii,Protected / Regulated,species,Rubiaceae,Psydrax polhillii,,Kenya endemic; Rubiaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/84550207,Psydrax,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5357232,128046756,Kenya,,NATIONAL,,Parkinsonia anacantha,Protected / Regulated,species,Fabaceae,Parkinsonia anacantha,,Kenya endemic; dry-country legume. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/128046756,Parkinsonia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3863755,32251,Kenya,,NATIONAL,,Memecylon teitense,Protected / Regulated,species,Melastomataceae,Taita Hills memecylon,,Restricted to Taita Hills. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/32251,Memecylon,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3863444,179391,Kenya,,NATIONAL,,Memecylon verruculosum,Protected / Regulated,species,Melastomataceae,Memecylon verruculosum,,Melastomataceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/species/179391,Memecylon,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Vulnerable,Regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
