GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_india,restriction_type,governing_law
5381660,India,,NATIONAL,,Phyllanthus emblica,Magnoliopsida,species,Phyllanthaceae,"Emblic, Indian-gooseberry, emblic, emblic myrobalan, Indian Gooseberry","Cicca emblica, Cicca macrocarpa, Diasperus emblica, Diasperus pomifer, Dichelactina nodicaulis, Dichelactina nodicaulus, Emblica arborea, Emblica officinalis, Mirobalanus embilica, Phyllanthus glomeratus, Phyllanthus mairei, Phyllanthus mimosifolius, Phyllanthus pomifer, Phyllanthus taxifolius",Key ayurvedic fruit; NTFP under forest law; commercial ABS applies,Phyllanthus,no,,BD Act <U+2014> ABS regulated / Forest produce,Collection regulated under Forest Acts,Biological Diversity Act 2002 / State Forest Acts
3699548,India,,NATIONAL,,Terminalia arjuna,Magnoliopsida,species,Combretaceae,"arjun, kumbuk, white murdh","Chuncoa glabra, Myrobalanus cuneata, Pentaptera angustifolia, Pentaptera arjuna, Pentaptera cuneata, Pentaptera glabra, Pentaptera obovata, Terminalia arjuna angustifolia, Terminalia berryi, Terminalia cuneata, Terminalia glabra, Terminalia ovalifolia, Terminalia psidiifolia, Terminalia urjan",Cardiotonic bark; heavily harvested for herbal medicine; riverbank species,Terminalia,no,,BD Act <U+2014> ABS regulated,Bark harvest regulated,Biological Diversity Act 2002 / State Forest Acts
5421195,India,,NATIONAL,,Aegle marmelos,Magnoliopsida,species,Rutaceae,"Bael Fruit, Bel, Bengal quince, Bengal-quince, Elephant Apple, Golden Apple, Holy Fruit, Indian Bael, Indian Quince, Indian bael, Indian baelfruit, Stone Apple, Wood Apple, bael, baeltree, belfruit-tree, bengal-quince, golden-apple, Bael Tree","Aegle marmelos, Aegle marmelos mahurensis, Belou marmelos, Bilacus marmelos, Crateva marmelos, Crateva religiosa, Feronia pellucida",Sacred tree; Shiva worship; medicinal fruit; wild harvest monitored,Aegle,no,,BD Act <U+2014> ABS regulated,Collection regulated,Biological Diversity Act 2002
2927100,India,,NATIONAL,,Ocimum tenuiflorum,Magnoliopsida,species,Lamiaceae,"Holy Basil, brush-leaf-tea, holy basil, sacred basil","Geniosporum tenuiflorum, Lumnitzera tenuiflora, Moschosma tenuiflorum, Ocimum flexuosum, Ocimum frutescens, Ocimum hirsutum, Ocimum inodorum, Ocimum monachorum, Ocimum sanctum, Ocimum sanctum cubensis, Ocimum sanctum hirsutum, Ocimum scutellarioides, Ocimum subserratum, Ocimum tenuiflorum villicaulis, Ocimum tomentosum, Ocimum villosum, Plectranthus monachorum",Sacred medicinal herb; commercial supplement industry; ABS required for export,Ocimum,no,,BD Act <U+2014> ABS regulated,ABS for commercial products,Biological Diversity Act 2002
2925649,India,,NATIONAL,,Tectona grandis,Magnoliopsida,species,Lamiaceae,"Bankok teak, Indian Oak, Indian-oak, Segun, Teak, teak","Jatus grandis, Tectona grandis abludens, Tectona grandis canescens, Tectona grandis pilosula, Tectona grandis punctata, Tectona grandis tomentella, Tectona theca, Theka grandis",Logging from natural forests restricted in most states; plantations regulated,Tectona,no,,State Protected <U+2014> felling restricted,Felling requires Forest Dept permit,State Forest Acts (multiple states)
3189684,India,,NATIONAL,,Shorea robusta,Magnoliopsida,species,Dipterocarpaceae,"sal tree, saltree","Dryobalanops robusta, Vatica robusta",Major timber tree; government-controlled; NTFP (sal leaves/seeds) regulated,Shorea,no,,State Protected <U+2014> revenue tree,Felling restricted under Forest Acts,State Forest Acts (UP/MP/Bihar/Jharkhand/WB)
5358521,India,,NATIONAL,,Prosopis cineraria,Magnoliopsida,species,Fabaceae,"jand, jandi","Acacia cineraria, Adenanthera aculeata, Mimosa cineraria, Mimosa cinerea, Prosopis aculeata, Prosopis cineraria, Prosopis spicata, Prosopis spicigera",Desert keystone; Bishnoi community protection; state tree; felling banned,Prosopis,no,,State tree Rajasthan <U+2014> Protected,Felling prohibited,Rajasthan Forest Act / Bishnoi customary law
2968532,India,,NATIONAL,,Dalbergia sissoo,Magnoliopsida,species,Fabaceae,"Indian Rosewood, Indian rosewood, sissoo, sisu","Amerimnon sissoo, Dalbergia pendula, Dalbergia sissoo, Endespermum diversifolium, Pterocarpus sissoo",All Dalbergia CITES II since 2017; major timber; wilt disease devastating plantations,Dalbergia,no,,CITES App. II (all Dalbergia),Export regulated,CITES / State Forest Acts
2968662,India,,NATIONAL,,Dalbergia latifolia,Magnoliopsida,species,Fabaceae,"Bombay blackwood, East Indian rosewood, Indian Rosewood, Indian blackwood, Indian rosewood, Indonesian Rosewood, Malabar rosewood, black rosewood, blackwood, Bombay Blackwood, Malabar Rosewood","Amerimnon javanicum, Amerimnon latifolium, Dalbergia emarginata, Dalbergia javanica",Premium furniture timber; South Indian species; CITES II,Dalbergia,no,,CITES App. II / State Protected,Export prohibited / felling regulated,CITES / Karnataka/Kerala Forest Acts
2968897,India,,NATIONAL,,Dalbergia melanoxylon,Magnoliopsida,species,Fabaceae,"African Ebony, African blackwood, African-ebony, Chinese blackwood, Mozambique Ebony, Mozambique-ebony, Senaar-ebony, Senegal-ebony, Sudan-ebony, african-blackwood, poyi, African Blackwood","Amerimnon melanoxylon, Amerimnon stocksii, Dalbergia stocksii",African blackwood also in Indian trade; all Dalbergia CITES II,Dalbergia,no,,CITES App. II,Export regulated,CITES
2765940,India,,NATIONAL,,Pontederia crassipes,Magnoliopsida,species,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",NA,Major freshwater invasive; covers millions of ha; hydropower threat,Pontederia,no,,Notified Invasive Species,Control mandated by states,EP Act 1986 / State rules
3086784,India,,NATIONAL,,Parthenium hysterophorus,Magnoliopsida,species,Asteraceae,"Santa Maria, Santa Maria feverfew, Santa Maria, Parthenium weed, Santa maria feverfew, Santa-Maria, Santa-Maria, Santa Maria feverfew, Whitetop weed, Famine weed, Carrot grass, Congress grass, Wild Carrot Weed, Parthenium weed, Ragweed parthenium, Bitter-broom, Bitterweed, False camomile, False ragweed, Ragweed, Barley flower, Bastard feverfew, Broomweed, Mugwort, Whiteheads, Wormwood, Whitehead, Whitetop weed, bitterweed, carrot-grass, false ragweed, feverfew, parthenium-weed, ragweed parthenium, whitetop, whitetop weed, Santa Maria Feverfew, Parthenium weed, parthenium","Argyrochaeta bipinnatifida, Argyrochaeta parviflora, Echetrosis pentasperma, Parthenium hysterophorus hysterophorus, Parthenium lobatum, Parthenium pinnatifidum",Widespread invasive; severe human allergy; crop competitor; all states,Parthenium,no,,Invasive / Noxious Weed,State-level control orders,State Agricultural Acts / EP Act
2925303,India,,NATIONAL,,Lantana camara,Magnoliopsida,species,Verbenaceae,"Black Sage, Lantana, Largeleaf Lantana, Sage, Scrubby Cup, Scrubby Tree, Statia Sage, Wild Lantana, Yellow Sage, common lantana, kamara lantana, largeleaf lantana, wild sage, Common Lantana, Wild Sage, shrub verbena, wild sage bush","Camara vulgaris, Lantana camara camara, Lantana camara parvifolia, Lantana coccinea, Lantana glandulodissima, Lantana mexicana, Lantana spinosa, Lantana urticifolia urticifolia",Major forest understory invasive; covers 13M ha; managed in tiger reserves,Lantana,no,,Invasive <U+2014> National Park threat,Eradication in protected areas,WPA 1972 / PA management plans
5358460,India,,NATIONAL,,Prosopis juliflora,Magnoliopsida,species,Fabaceae,"Mesquite, Prosopis, Mesquite, Algaroba bean, Mexican thorn, Ironwood, algarroba-bean, ironwood, mesquite","Acacia juliflora, Algarobia juliflora, Entada juliflora, Mimosa furcata, Mimosa juliflora, Neltuma juliflora, Neltuma occidenatlis, Prosopis vidaliana","Semi-arid invasive; massive spread in Rajasthan, Gujarat, Tamil Nadu; >5M ha",Prosopis,no,,Invasive <U+2014> semi-arid degradation,State control programmes,EP Act 1986 / State rules
5398421,India,,NATIONAL,,Mikania micrantha,Magnoliopsida,species,Asteraceae,"American rope, Chinese creeper, Mile-a-minute weed, Chinese creeper, Mile-a-minute, bittervine, climbing hempweed, mikania-vine, mile-a-minute, Mile-a-minute Weed","Eupatorium denticulatum, Eupatorium orinocense, Eupatorium orinocense tamoides, Eupatorium orinocense batatifolium, Eupatorium orinocense orinocense, Mikania batatifolia, Mikania cordata indica, Mikania deltoides, Mikania denticulata, Mikania glechomaefolia, Mikania glechomifolia, Mikania micrantha hirsuta, Mikania micrantha typica, Mikania micrantha micrantha, Mikania micrantha cynanchifolia, Mikania orinocensis, Mikania scandens genuina, Mikania scandens pubescens, Mikania scandens cynanchifolia, Mikania scandens sagittifolia, Mikania scandens subcymosa, Mikania scandens umbellifera, Mikania scandens hirsuta, Mikania scandens villosa, Mikania sinuata, Mikania subcrenata, Mikania subcymosa, Mikania tamoides, Mikania umbellifera, Mikania variabilis, Willoughbya heterophylla, Willoughbya micrantha, Willoughbya scandens orinocensis, Willoughbya variabilis",Smothering climber; invades tea gardens and NE India forests; rapid growth,Mikania,no,,Invasive <U+2014> NE India / Western Ghats,Eradication in protected areas,WPA 1972 / PA management plans
3087725,India,,NATIONAL,,Chromolaena odorata,Magnoliopsida,species,Asteraceae,"Bitter bush, Jack in the bush, Siam weed, Triffid weed, Christmas Bush, Christmasbush, Jack in the bush, Siamweed, bitterbush, butterfly-weed, devilweed, hagonoy, jack-in-the-bush, paraffin-weed, triffidweed, Siam weed","Chromolaena barranquillensis, Chromolaena clematitis, Chromolaena odorata squarrosa, Chrysocoma maculata, Chrysocoma volubilis, Eupatorium atriplicifolium, Eupatorium barranquillense, Eupatorium brachiatum, Eupatorium clematitis, Eupatorium conyzoides, Eupatorium conyzoides angustiflorum, Eupatorium conyzoides conyzoides, Eupatorium conyzoides glabratum, Eupatorium conyzoides floribunda, Eupatorium conyzoides heterolepis, Eupatorium conyzoides incanum, Eupatorium conyzoides paucidentatum, Eupatorium conyzoides pauciflorum, Eupatorium conyzoides scaberulum, Eupatorium conyzoides tambillense, Eupatorium conyzoides extensum, Eupatorium conyzoides floribundum, Eupatorium conyzoides glabrescens, Eupatorium conyzoides maximiliani, Eupatorium conyzoides phyllocephalum, Eupatorium dichotomum, Eupatorium divergens, Eupatorium floribundum, Eupatorium graciliflorum, Eupatorium incisum, Eupatorium klattii, Eupatorium margaritense glabrescens, Eupatorium margaritense heterolepis, Eupatorium margaritense phyllocephalum, Eupatorium odoratum, Eupatorium odoratum odoratum, Eupatorium odoratum scandens, Eupatorium odoratum squarrosum, Eupatorium odoratum brachiatum, Eupatorium odoratum cubense, Eupatorium odoratum mallotophyllum, Eupatorium odoratum pauciflorum, Eupatorium sabeanum, Eupatorium stigmatosum, Eupatorium stigmatosum stigmatosum, Osmia atriplicifolia, Osmia clematitis, Osmia conyzoides, Osmia divergens, Osmia floribunda, Osmia graciliflora, Osmia odorata",Fire-promoting invasive shrub; transforms forest understorey; W Ghats,Chromolaena,no,,Invasive <U+2014> Western Ghats/NE India,Control in protected areas,PA management plans
2928590,India,,NATIONAL,,Ipomoea carnea,Magnoliopsida,species,Convolvulaceae,"Gloria De La Manana, Morning-glory, gloria de la manana",Ipomoea gossypioides,Toxic shrub; invades wetlands and wastelands; cattle poisoning,Ipomoea,no,,Invasive <U+2014> wetland degrader,Control mandated in some states,State wetland rules
5274863,India,,NATIONAL,,Salvinia molesta,Magnoliopsida,species,Salviniaceae,"African payal, Giant salvinia, Kariba weed, Water fern, African payal, African pyle, Aquarium watermoss, Giant water fern, Velvet weed, Kariba weed, Salvinia moss, aquarium watermoss, giant salvinia, kariba weed, kariba-weed, water fern, Giant Salvinia",Salvinia adnata,Giant floating fern; smothers Kerala backwaters; biological control deployed,Salvinia,no,,Invasive <U+2014> aquatic weed,Control mandated,EP Act 1986 / State rules
2882443,India,,NATIONAL,,Cabomba caroliniana,Magnoliopsida,species,Cabombaceae,"Carolina Water Shield, Carolina Water-shield, Carolina fanwort, Carolina water-shield, Fanwort, Washington-grass, Washington-plant, fanwort, fish-grass","Cabomba aquatica, Cabomba australis, Cabomba caroliniana caroliniana, Cabomba caroliniana pulcherrima, Cabomba caroliniana paucipartita, Nectris caroliniana",Aquatic weed spreading from aquarium trade; Kerala/Tamil Nadu waterways,Cabomba,no,,Invasive <U+2014> aquarium trade escape,Import restricted,Quarantine rules / EXIM Policy
5358457,India,,NATIONAL,,Prosopis glandulosa,Magnoliopsida,species,Fabaceae,honey mesquite,"Algarobia glandulosa, Dasiogyna glandulosa, Neltuma glandulosa, Prosopis chilensis glandulosa, Prosopis juliflora glandulosa",Dryland invasive hybridising with P. juliflora; Northern India spread,Prosopis,no,,Invasive <U+2014> arid zone,State control programmes,EP Act 1986 / State rules
7808904,India,,NATIONAL,,Mimosa diplotricha,Magnoliopsida,species,Fabaceae,"Giant sensitive plant, giant false sensitive plant, giant sensitive-plant",NA,Thorny scrambler; invades tea gardens and roadsides in NE India,Mimosa,no,,Invasive <U+2014> NE India plantation threat,Control in tea/rubber estates,State Agricultural Acts
5401673,India,,NATIONAL,,Ageratum conyzoides,Magnoliopsida,species,Asteraceae,"Ageratum, Billy goat weed, Blue ageratum, Blue flowered groundsel, Blue top, Goat weed, Mother brinkly, Tropic ateratum, Tropical whiteweed, White weed, Winter weed, Billygoat-weed, Chick weed, Goatweed, Whiteweed, Tropical whiteweed, White Cap, billygoat-plant, billygoat-weed, bluebonnet, bluetop, goatweed","Ageratum album, Ageratum arsenei, Ageratum brachystephanum, Ageratum caeruleum, Ageratum ciliare, Ageratum coeruleum, Ageratum conyzoides album, Ageratum conyzoides conyzoides, Ageratum conyzoides obtusifolia, Ageratum conyzoides hirtum, Ageratum conyzoides inaequipaleaceum, Ageratum conyzoides pilosum, Ageratum conyzoides obtusifolium, Ageratum cordifolium, Ageratum hirsutum, Ageratum hirtum, Ageratum humile, Ageratum koulianum, Ageratum latifolium, Ageratum latifolium galapageium, Ageratum latifolium latifolium, Ageratum muticum, Ageratum nanum, Ageratum obtusifolium, Ageratum odoratum, Ageratum sandwicense, Ageratum suffruticosum, Alomia coelestina, Alomia microcarpa torresiae, Alomia microcarpa torresii, Cacalia mentrasto, Caelestina latifolia, Caelestina suffruticosa, Carelia brachystephana, Carelia conyzoides, Carelia mutica, Coelestina suffruticosa, Eupatorium conyzoides, Eupatorium conyzoides conyzoides, Eupatorium paleaceum, Phalacraea coelestina, Piqueria coelestina, Sparganophorus obtusifolius",Pantropical weed; major rice and tea field invader; allelopathic,Ageratum,no,,Invasive <U+2014> crop fields,Weed management mandated,State Agricultural Acts
