GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_co,restriction_type,governing_law
2693948,Colombia,,NATIONAL,,Greigia sodiroana,Liliopsida,species,Bromeliaceae,Greigia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Greigia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2699170,Colombia,,NATIONAL,,Guzmania attenuata,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2699126,Colombia,,NATIONAL,,Guzmania bakeri,Liliopsida,species,Bromeliaceae,Guzmania sp.,"Caraguata bakeri, Guzmania drewii, Guzmania elongata",Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2698993,Colombia,,NATIONAL,,Guzmania betancurii,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2698986,Colombia,,NATIONAL,,Guzmania bicolor,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2699247,Colombia,,NATIONAL,,Guzmania breviscapa,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2699122,Colombia,,NATIONAL,,Guzmania cabrerae,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2698997,Colombia,,NATIONAL,,Guzmania caricifolia,Liliopsida,species,Bromeliaceae,Guzmania sp.,Sodiroa caricifolia,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2698882,Colombia,,NATIONAL,,Guzmania cylindrica,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2699169,Colombia,,NATIONAL,,Guzmania formosa,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2699115,Colombia,,NATIONAL,,Guzmania hitchcockiana,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2698963,Colombia,,NATIONAL,,Guzmania longibracteata,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2698943,Colombia,,NATIONAL,,Guzmania longipetala,Liliopsida,species,Bromeliaceae,Guzmania sp.,"Thecophyllum longipetalum, Tillandsia longipetala",Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2698991,Colombia,,NATIONAL,,Guzmania pallida,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2698977,Colombia,,NATIONAL,,Guzmania palustris,Liliopsida,species,Bromeliaceae,Guzmania sp.,"Caraguata palustris, Thecophyllum palustre",Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2699164,Colombia,,NATIONAL,,Guzmania polycephala,Liliopsida,species,Bromeliaceae,Guzmania sp.,Chirripoa solitaria,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2699046,Colombia,,NATIONAL,,Guzmania radiata,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2698990,Colombia,,NATIONAL,,Guzmania regalis,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2699171,Colombia,,NATIONAL,,Guzmania rugosa,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2698980,Colombia,,NATIONAL,,Guzmania stricta,Liliopsida,species,Bromeliaceae,Guzmania sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2699205,Colombia,,NATIONAL,,Guzmania wittmackii,Liliopsida,species,Bromeliaceae,Guzmania sp.,"Guzmania wittmackii, Thecophyllum wittmackii",Bromeliaceae; Res. 1912/2017 threatened flora,Guzmania,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2699356,Colombia,,NATIONAL,,Hohenbergia andina,Liliopsida,species,Bromeliaceae,Hohenbergia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Hohenbergia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2694273,Colombia,,NATIONAL,,Cipuropsis bicolor,Liliopsida,species,Bromeliaceae,Mezobromelia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Cipuropsis,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2694249,Colombia,,NATIONAL,,Cipuropsis hospitalis,Liliopsida,species,Bromeliaceae,Mezobromelia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Cipuropsis,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2694268,Colombia,,NATIONAL,,Cipuropsis magdalenae,Liliopsida,species,Bromeliaceae,Mezobromelia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Cipuropsis,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2693513,Colombia,,NATIONAL,,Navia axillaris,Liliopsida,species,Bromeliaceae,Navia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Navia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2693550,Colombia,,NATIONAL,,Navia bicolor,Liliopsida,species,Bromeliaceae,Navia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Navia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2693477,Colombia,,NATIONAL,,Navia ebracteata,Liliopsida,species,Bromeliaceae,Navia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Navia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2693500,Colombia,,NATIONAL,,Navia fontoides,Liliopsida,species,Bromeliaceae,Navia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Navia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2693482,Colombia,,NATIONAL,,Steyerbromelia garcia-barrigae,Liliopsida,species,Bromeliaceae,Navia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Steyerbromelia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2693543,Colombia,,NATIONAL,,Navia graminifolia,Liliopsida,species,Bromeliaceae,Navia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Navia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2693510,Colombia,,NATIONAL,,Navia heliophila,Liliopsida,species,Bromeliaceae,Navia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Navia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2693486,Colombia,,NATIONAL,,Navia pilarica,Liliopsida,species,Bromeliaceae,Navia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Navia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2693551,Colombia,,NATIONAL,,Navia schultesiana,Liliopsida,species,Bromeliaceae,Navia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Navia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288571,Colombia,,NATIONAL,,Pitcairnia adscendens,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288315,Colombia,,NATIONAL,,Pitcairnia alborubra,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,"Hepetis alboruba, Hepetis alborubra, Pepinia alborubra",Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288090,Colombia,,NATIONAL,,Pitcairnia altoatratoensis,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288185,Colombia,,NATIONAL,,Pitcairnia arenicola,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288150,Colombia,,NATIONAL,,Pitcairnia arida,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288285,Colombia,,NATIONAL,,Pitcairnia barrigae,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288260,Colombia,,NATIONAL,,Pitcairnia basincurva,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288226,Colombia,,NATIONAL,,Pitcairnia calophylla,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288596,Colombia,,NATIONAL,,Pitcairnia capitata,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
5288082,Colombia,,NATIONAL,,Pitcairnia chocoensis,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288609,Colombia,,NATIONAL,,Pitcairnia costata,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pepinia costata,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288355,Colombia,,NATIONAL,,Pitcairnia cuatrecasana,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pepinia cuatrecasana,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288089,Colombia,,NATIONAL,,Pitcairnia delicata,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pitcairnia chocoensis,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288385,Colombia,,NATIONAL,,Pitcairnia dolichopetala,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288623,Colombia,,NATIONAL,,Pitcairnia elongata,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288366,Colombia,,NATIONAL,,Pitcairnia explosiva,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288067,Colombia,,NATIONAL,,Pitcairnia fluvialis,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288581,Colombia,,NATIONAL,,Pitcairnia foreroi,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288478,Colombia,,NATIONAL,,Pitcairnia fosteriana,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288421,Colombia,,NATIONAL,,Pitcairnia fruticosa,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288368,Colombia,,NATIONAL,,Pitcairnia grubbiana,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
5288351,Colombia,,NATIONAL,,Pitcairnia guaritermae,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Hepetis guaritermae,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288081,Colombia,,NATIONAL,,Pitcairnia haughtii,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288031,Colombia,,NATIONAL,,Pitcairnia heliophila,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pepinia heliophila,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288443,Colombia,,NATIONAL,,Pitcairnia jaramilloi,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288401,Colombia,,NATIONAL,,Pitcairnia johannis,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
5288337,Colombia,,NATIONAL,,Pitcairnia juncoides,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pepinia juncoides,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288063,Colombia,,NATIONAL,,Pitcairnia kniphofioides,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288591,Colombia,,NATIONAL,,Pitcairnia lepidopetalon,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288345,Colombia,,NATIONAL,,Pitcairnia lindae,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
5288424,Colombia,,NATIONAL,,Pitcairnia macrobotrys,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Hepetis macrobotrys,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
5288279,Colombia,,NATIONAL,,Pitcairnia maritima,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288242,Colombia,,NATIONAL,,Pitcairnia mituensis,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pepinia mituensis,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288557,Colombia,,NATIONAL,,Pitcairnia mucida,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288618,Colombia,,NATIONAL,,Pitcairnia occidentalis,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pepinia occidentalis,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
5288619,Colombia,,NATIONAL,,Pitcairnia occidentalis,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pitcairnia alversonii,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288141,Colombia,,NATIONAL,,Pitcairnia palmoides,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,"Pitcairnia dracaenoides, Pitcairnia volubilis",Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288376,Colombia,,NATIONAL,,Pitcairnia pectinata,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pepinia pectinata,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288300,Colombia,,NATIONAL,,Pitcairnia petraea,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
5288597,Colombia,,NATIONAL,,Pitcairnia poortmanii,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Hepetis poortmanii,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288574,Colombia,,NATIONAL,,Pitcairnia quesnelioides,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pepinia quesnelioides,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288472,Colombia,,NATIONAL,,Pitcairnia ramosii,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288233,Colombia,,NATIONAL,,Pitcairnia rigida,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288043,Colombia,,NATIONAL,,Pitcairnia sanguinea,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Pepinia sanguinea,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288394,Colombia,,NATIONAL,,Pitcairnia schultzei,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288133,Colombia,,NATIONAL,,Pitcairnia similis,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
5288593,Colombia,,NATIONAL,,Pitcairnia sneidernii,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288573,Colombia,,NATIONAL,,Pitcairnia stenophylla,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,Hepetis stenophylla,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
5288570,Colombia,,NATIONAL,,Pitcairnia tolimensis,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
5288336,Colombia,,NATIONAL,,Pitcairnia trimorpha,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288189,Colombia,,NATIONAL,,Pitcairnia tumulicola,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288262,Colombia,,NATIONAL,,Pitcairnia verrucosa,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
5288236,Colombia,,NATIONAL,,Pitcairnia villetaensis,Liliopsida,species,Bromeliaceae,Pitcairnia sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Pitcairnia,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696346,Colombia,,NATIONAL,,Puya alpicola,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696262,Colombia,,NATIONAL,,Puya antioquensis,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696112,Colombia,,NATIONAL,,Puya barkleyana,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2696056,Colombia,,NATIONAL,,Puya boyacana,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2696372,Colombia,,NATIONAL,,Puya brachystachya,Liliopsida,species,Bromeliaceae,Puya sp.,Pitcairnia brachystachya,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2696198,Colombia,,NATIONAL,,Puya clava-herculis,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696183,Colombia,,NATIONAL,,Puya cleefii,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2696156,Colombia,,NATIONAL,,Puya dichroa,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696341,Colombia,,NATIONAL,,Puya exuta,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696137,Colombia,,NATIONAL,,Puya furfuracea,Liliopsida,species,Bromeliaceae,Puya sp.,"Pitcairnia angustifolia furfuracea, Pitcairnia furfuracea, Pitcairnia pyramidata, Pourretia bonplandiana, Pourretia pyramidata, Puya bonplandiana",Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696116,Colombia,,NATIONAL,,Puya gargantae,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2696375,Colombia,,NATIONAL,,Puya gigas,Liliopsida,species,Bromeliaceae,Puya sp.,Puya gigantea,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2696160,Colombia,,NATIONAL,,Puya grantii,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2696151,Colombia,,NATIONAL,,Puya grubbii,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696270,Colombia,,NATIONAL,,Puya horrida,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2696050,Colombia,,NATIONAL,,Puya lehmanniana,Liliopsida,species,Bromeliaceae,Puya sp.,"Pitcairnia lehmanniana, Pitcairnia pastoensis, Puya lanuginosa, Puya pastoensis",Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696111,Colombia,,NATIONAL,,Puya nivalis,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696071,Colombia,,NATIONAL,,Puya occidentalis,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2696064,Colombia,,NATIONAL,,Puya ochroleuca,Liliopsida,species,Bromeliaceae,Puya sp.,NA,Bromeliaceae; Res. 1912/2017 threatened flora,Puya,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
